"","nabut_1_D5_treat_Slot1-1_1_3713","nabut_1_E2_mix_Slot1-1_1_3692","nabut_1_E3_mix_Slot1-1_1_3721","nabut_1_E5_treat_Slot1-1_1_3714","nabut_1_F2_mix_Slot1-1_1_3693","nabut_1_F5_treat_Slot1-1_1_3715","nabut_1_G3_mix_Slot1-1_1_3723","nabut_1_G5_treat_Slot1-1_1_3716","nabut_1_H2_mix_Slot1-1_1_3695","nabut_1_H5_treat_Slot1-1_1_3717","nabut_1_I2_mix_Slot1-1_1_3696","nabut_1_I5_treat_Slot1-1_1_3718","nabut_1_K2_mix_Slot1-1_1_3698","nabut_1_L2_mix_Slot1-1_1_3699","nabut_4_D2_mix_Slot1-1_1_3640","nabut_4_D5_treat_Slot1-1_1_3675","nabut_4_E2_mix_Slot1-1_1_3641","nabut_4_E5_treat_Slot1-1_1_3676","nabut_4_F5_treat_Slot1-1_1_3677","nabut_4_G2_mix_Slot1-1_1_3643","nabut_4_G5_treat_Slot1-1_1_3678","nabut_4_H5_treat_Slot1-1_1_3679","nabut_4_I2_mix_Slot1-1_1_3645","nabut_4_I5_treat_Slot1-1_1_3680","nabut_4_J2_mix_Slot1-1_1_3646","nabut_4_L2_mix_Slot1-1_1_3648","nabut_4_M2_mix_Slot1-1_1_3649","nabut_4_N2_mix_Slot1-1_1_3650","nabut_4_O2_mix_Slot1-1_1_3651"
"nabut_1_I2_mix_Slot1-1_1_3696",0.970268886436433,0.988762675783993,0.85810913991901,0.960375630578104,0.9919099754813,0.974550246520206,0.858604184898512,0.946467543394435,0.985788868658766,0.973156300784563,1,0.979646921451345,0.981464423627944,0.985824050709966,0.980113072396708,0.968403786835255,0.965542959365563,0.976075565167843,0.974135395443395,0.948238487758598,0.909934298235709,0.978424114942826,0.969136901695482,0.973942156811542,0.984547999530294,0.982464323609635,0.966694582624022,0.975638331554163,0.987367476148061
"nabut_1_I5_treat_Slot1-1_1_3718",0.984039804294514,0.973378763964868,0.874997080835935,0.967871952162229,0.979700183970497,0.979236074702774,0.900012578389088,0.95912591629166,0.963673584307144,0.970977626739651,0.979646921451345,1,0.972753191270937,0.95821746150354,0.982313367664066,0.9877218521584,0.975559658277373,0.987826142352325,0.990058977073684,0.944864207170344,0.931484576277953,0.956801341923437,0.948626656082397,0.969163496344903,0.981653024358851,0.97863510129278,0.973873187964634,0.957548297141093,0.979956324324039
"nabut_1_K2_mix_Slot1-1_1_3698",0.95831499252827,0.963835769869812,0.842879193139605,0.936083202550366,0.99579821909887,0.952173378901681,0.858346894655309,0.943158449711878,0.971954473787161,0.945215031572356,0.981464423627944,0.972753191270937,1,0.960504297330962,0.965589673537228,0.962167291341486,0.941709621851827,0.965792237769934,0.962999149624386,0.938302414679412,0.900285620105423,0.96941009599243,0.962483588467115,0.957506939280534,0.967175180164283,0.969207880711697,0.947089405025059,0.962187420289222,0.97276350797663
"nabut_1_L2_mix_Slot1-1_1_3699",0.959006022899725,0.980726569162404,0.867362481806907,0.96214392479193,0.974042326437694,0.965958677993074,0.863672658964139,0.921478001220789,0.989377484719742,0.971965471205703,0.985824050709966,0.95821746150354,0.960504297330962,1,0.975203822793949,0.959978274550366,0.962356483303137,0.969134671840314,0.952704397171557,0.940633102536908,0.93010395604912,0.967551944381247,0.964547816302726,0.971554733232671,0.974763841627811,0.973390238210738,0.952278659934732,0.97757511951682,0.975625611194905
"nabut_4_D2_mix_Slot1-1_1_3640",0.985670089444714,0.976127577101969,0.910696025826942,0.982841308637449,0.975796043747551,0.985410688480605,0.914231518257235,0.963817048401013,0.976979756331356,0.980036791248492,0.980113072396708,0.982313367664066,0.965589673537228,0.975203822793949,1,0.985677513192677,0.98668986608553,0.986597817037541,0.9742195528673,0.965497489386689,0.937661042505235,0.967721145378965,0.945092410276724,0.975045873083237,0.979011256716992,0.986561423731754,0.965399630204417,0.974746758733656,0.975797167563629
"nabut_4_D5_treat_Slot1-1_1_3675",0.991274817440473,0.975489702916097,0.915923219107362,0.983251285486368,0.968008825239317,0.984621543675703,0.939251032513054,0.957852180222458,0.959964289090973,0.977654123011894,0.968403786835255,0.9877218521584,0.962167291341486,0.959978274550366,0.985677513192677,1,0.989317030990873,0.99123984294577,0.979613587728905,0.963042232887925,0.945852935713246,0.945565924499776,0.948716982844662,0.96506734733468,0.980738822199211,0.98537709039156,0.980214616357473,0.951187057018752,0.969009200430682
"nabut_4_E2_mix_Slot1-1_1_3641",0.98687251471789,0.979922181447276,0.916542659967245,0.988160029651542,0.955846950987403,0.986486875162588,0.934256318009671,0.951662525012942,0.961313428464501,0.985579894571892,0.965542959365563,0.975559658277373,0.941709621851827,0.962356483303137,0.98668986608553,0.989317030990873,1,0.97936803948838,0.96494919218211,0.975946631314637,0.937211866141299,0.93669935650553,0.933402356784101,0.957306110514054,0.979271599042165,0.984303906907503,0.978820573998422,0.951219765788263,0.958137734945529
"nabut_4_E5_treat_Slot1-1_1_3676",0.990342709101462,0.975983253245948,0.921993562299921,0.979409278822479,0.97325946796174,0.989030994973372,0.935412707483323,0.967796494373217,0.965401874970295,0.97378439184495,0.976075565167843,0.987826142352325,0.965792237769934,0.969134671840314,0.986597817037541,0.99123984294577,0.97936803948838,1,0.987757161828049,0.950586565741864,0.9616853357629,0.971949871962722,0.956988931123007,0.989482570663045,0.988442208423275,0.988364666722745,0.980403837137062,0.971785332443768,0.987591411009534
"nabut_4_F5_treat_Slot1-1_1_3677",0.973836070457704,0.9653173921856,0.885824158605787,0.956708231449013,0.9714428022336,0.981632579652549,0.898218427355759,0.964845456158126,0.958516662326761,0.964831490035637,0.974135395443395,0.990058977073684,0.962999149624386,0.952704397171557,0.9742195528673,0.979613587728905,0.96494919218211,0.987757161828049,1,0.922143483402847,0.918648363662531,0.968793268107356,0.950384366995286,0.977007273876704,0.986285137738524,0.981291847372853,0.979819886830858,0.952651314180838,0.988315254369677
"nabut_4_G2_mix_Slot1-1_1_3643",0.970960936503394,0.967686161962673,0.910167807382514,0.967674983960541,0.948627951129682,0.964091624072045,0.92339603149227,0.949398016075195,0.939458527371384,0.965428918576246,0.948238487758598,0.944864207170344,0.938302414679412,0.940633102536908,0.965497489386689,0.963042232887925,0.975946631314637,0.950586565741864,0.922143483402847,1,0.906761462698684,0.920646173220627,0.926176520602929,0.929588472331842,0.95572658377761,0.96665252075021,0.950604592549787,0.940642611043261,0.929121491336366
"nabut_4_G5_treat_Slot1-1_1_3678",0.951012695014543,0.919604540088178,0.911414169206111,0.946291504723265,0.904195219968594,0.935277658531838,0.942214216263535,0.901794191974837,0.908385997458856,0.916440856061195,0.909934298235709,0.931484576277953,0.900285620105423,0.93010395604912,0.937661042505235,0.945852935713246,0.937211866141299,0.9616853357629,0.918648363662531,0.906761462698684,1,0.913108377842574,0.895723990932923,0.955069887003619,0.932839508123708,0.926880420230445,0.921649785471876,0.938958431083947,0.927986043792684
"nabut_4_H5_treat_Slot1-1_1_3679",0.955809692346327,0.96031443166056,0.883157686636283,0.938944956679693,0.97590726730163,0.966988387067957,0.870103868473999,0.959899060175439,0.969022714288926,0.946240602303096,0.978424114942826,0.956801341923437,0.96941009599243,0.967551944381247,0.967721145378965,0.945565924499776,0.93669935650553,0.971949871962722,0.968793268107356,0.920646173220627,0.913108377842574,1,0.960832483932103,0.986294619168076,0.97620787417496,0.974516807573819,0.951495723406317,0.978459539832239,0.989004053724349
"nabut_4_I2_mix_Slot1-1_1_3645",0.946648540330586,0.970798413467465,0.861069045155149,0.937982524635946,0.968219024623435,0.956558367508414,0.860047000156133,0.929729758588537,0.95346819888308,0.958528013262592,0.969136901695482,0.948626656082397,0.962483588467115,0.964547816302726,0.945092410276724,0.948716982844662,0.933402356784101,0.956988931123007,0.950384366995286,0.926176520602929,0.895723990932923,0.960832483932103,1,0.95533292542935,0.969662574435297,0.968698990517929,0.953914573721351,0.939324656702011,0.970963314164043
"nabut_4_I5_treat_Slot1-1_1_3680",0.973303168801141,0.96803492555905,0.908728109743493,0.960563472286085,0.967837085821954,0.978906545422272,0.906913094778302,0.96308332130589,0.963918844914861,0.961408292390799,0.973942156811542,0.969163496344903,0.957506939280534,0.971554733232671,0.975045873083237,0.96506734733468,0.957306110514054,0.989482570663045,0.977007273876704,0.929588472331842,0.955069887003619,0.986294619168076,0.95533292542935,1,0.984291818627468,0.979679712911149,0.968262341871812,0.982833134528691,0.991401703423915
"nabut_4_J2_mix_Slot1-1_1_3646",0.983406306183957,0.988678472001594,0.901316304160288,0.970034454268094,0.978064092991863,0.991154824430747,0.911174617444557,0.967340353630125,0.970959886820095,0.982648870480678,0.984547999530294,0.981653024358851,0.967175180164283,0.974763841627811,0.979011256716992,0.980738822199211,0.979271599042165,0.988442208423275,0.986285137738524,0.95572658377761,0.932839508123708,0.97620787417496,0.969662574435297,0.984291818627468,1,0.993728919706647,0.99213139365399,0.968884292469878,0.990618276502696
"nabut_4_L2_mix_Slot1-1_1_3648",0.984013463532007,0.987161725893689,0.914301362051202,0.978862774046286,0.979726567840708,0.993762379979817,0.918158616361398,0.971018571958165,0.975154500112587,0.987399948391785,0.982464323609635,0.97863510129278,0.969207880711697,0.973390238210738,0.986561423731754,0.98537709039156,0.984303906907503,0.988364666722745,0.981291847372853,0.96665252075021,0.926880420230445,0.974516807573819,0.968698990517929,0.979679712911149,0.993728919706647,1,0.987834082360832,0.969157056321933,0.986116562008736
"nabut_4_M2_mix_Slot1-1_1_3649",0.979822682396654,0.981591431274162,0.907050086194534,0.965844941079351,0.957872022926789,0.985464540235815,0.917590046393418,0.956925040705995,0.948444814996842,0.979046507965778,0.966694582624022,0.973873187964634,0.947089405025059,0.952278659934732,0.965399630204417,0.980214616357473,0.978820573998422,0.980403837137062,0.979819886830858,0.950604592549787,0.921649785471876,0.951495723406317,0.953914573721351,0.968262341871812,0.99213139365399,0.987834082360832,1,0.945358735664836,0.97629490815746
"nabut_4_N2_mix_Slot1-1_1_3650",0.959178075393957,0.962743103955491,0.882539460114925,0.9577724486166,0.971865862963901,0.967048236423964,0.87436028285771,0.951499011173526,0.973877672096647,0.959278352287568,0.975638331554163,0.957548297141093,0.962187420289222,0.97757511951682,0.974746758733656,0.951187057018752,0.951219765788263,0.971785332443768,0.952651314180838,0.940642611043261,0.938958431083947,0.978459539832239,0.939324656702011,0.982833134528691,0.968884292469878,0.969157056321933,0.945358735664836,1,0.977098702772591
"nabut_4_O2_mix_Slot1-1_1_3651",0.970558503725573,0.977234441802273,0.885839572268976,0.959413251512363,0.98243269566384,0.981766329255378,0.882433048743684,0.960256677573969,0.973530016097388,0.969529925558421,0.987367476148061,0.979956324324039,0.97276350797663,0.975625611194905,0.975797167563629,0.969009200430682,0.958137734945529,0.987591411009534,0.988315254369677,0.929121491336366,0.927986043792684,0.989004053724349,0.970963314164043,0.991401703423915,0.990618276502696,0.986116562008736,0.97629490815746,0.977098702772591,1
