"","1_D3_Slot1-1_1_1321","1_D4_Slot1-1_1_1300","1_E3_Slot1-1_1_1322","1_E4_Slot1-1_1_1301","1_F3_Slot1-1_1_1323","1_F4_Slot1-1_1_1302","1_G3_Slot1-1_1_1325","1_G4_Slot1-1_1_1305","1_H2_Slot1-1_1_1341","1_H3_Slot1-1_1_1326","1_H4_Slot1-1_1_1306","1_I2_Slot1-1_1_1342","1_I3_Slot1-1_1_1327","1_I4_Slot1-1_1_1307","auto_2_E2_1cell_Slot1-1_1_3420","auto_2_E3_1cell_Slot1-1_1_3418","auto_2_F2_1cell_Slot1-1_1_3421","auto_2_F3_1cell_Slot1-1_1_3419","auto_4_D3_1cell_Slot1-1_1_3495","auto_4_D4_1cell_Slot1-1_1_3492","auto_4_E4_1cell_Slot1-1_1_3493","auto_4_F4_1cell_Slot1-1_1_3494","nabut_1_D2_mix_Slot1-1_1_3691","nabut_1_D3_mix_Slot1-1_1_3720","nabut_1_E4_ctrl_Slot1-1_1_3707","nabut_1_F3_mix_Slot1-1_1_3722","nabut_1_F4_ctrl_Slot1-1_1_3708","nabut_1_G2_mix_Slot1-1_1_3694","nabut_1_G4_ctrl_Slot1-1_1_3709","nabut_1_H4_ctrl_Slot1-1_1_3710","nabut_1_I4_ctrl_Slot1-1_1_3711","nabut_1_J2_mix_Slot1-1_1_3697","nabut_1_M2_mix_Slot1-1_1_3700","nabut_1_N2_mix_Slot1-1_1_3701","nabut_1_O2_mix_Slot1-1_1_3702","nabut_4_E3_mix_Slot1-1_1_3682","nabut_4_F2_mix_Slot1-1_1_3642","nabut_4_F3_mix_Slot1-1_1_3683","nabut_4_G3_mix_Slot1-1_1_3684","nabut_4_H2_mix_Slot1-1_1_3644","nabut_4_H3_mix_Slot1-1_1_3685","nabut_4_I3_mix_Slot1-1_1_3686","nabut_4_K2_mix_Slot1-1_1_3647"
"nabut_1_E4_ctrl_Slot1-1_1_3707",0.954449086991882,0.951093136082888,0.963031043038898,0.947562519407413,0.94675010233299,0.96676138619424,0.962006391400609,0.956746113462076,0.965904864662752,0.955715129198184,0.962807078891811,0.97015915157455,0.955985755842583,0.948678653042569,0.965192442691234,0.924618118137433,0.954249238728611,0.958305333538508,0.955983035716648,0.967559605342471,0.906518072488832,0.969921440766648,0.88529302095279,0.934401997318326,1,0.981558664256157,0.962933762149024,0.894800935612161,0.978317226395115,0.979535426582404,0.946722008365408,0.888641468586553,0.895716677463612,0.880299113050988,0.892580956563871,0.951049042214553,0.926675865490548,0.944411425826772,0.964026972604053,0.922682130089407,0.941880213179291,0.94937488748958,0.955452776548816
"nabut_1_F3_mix_Slot1-1_1_3722",0.929022764789645,0.935631115091585,0.946391127071077,0.945522345118912,0.951721637846545,0.949042583354785,0.934265295813811,0.955711231089246,0.9557843844523,0.95808515420829,0.950718833556803,0.957765774237594,0.963292408580261,0.934369427527588,0.9557991129584,0.932293114388161,0.947693473511275,0.951281822679465,0.931114026088775,0.939886294959732,0.92249235415553,0.946116220103479,0.895989598255244,0.957517247047471,0.981558664256157,1,0.962041233812641,0.89111710924979,0.972927909986604,0.970023931844052,0.948425033300562,0.903890366270266,0.901542804565195,0.896780539175615,0.898798488660795,0.945991614127105,0.928863965400299,0.951430717070811,0.966345327240253,0.94241044420119,0.946512817822565,0.928516769516208,0.963789253609829
"nabut_1_F4_ctrl_Slot1-1_1_3708",0.96404619336533,0.945760725402567,0.969324771737097,0.955705545296262,0.964058235652638,0.974980890796331,0.971249114435315,0.967065122173218,0.978974688934288,0.966481533327716,0.981157738229577,0.981614152420018,0.977450388118381,0.971498042854754,0.983363039076087,0.943162275158141,0.971611140702,0.963360609076312,0.957009057047282,0.969545279451754,0.936825656768136,0.980927406664446,0.953351307438119,0.926061456252285,0.962933762149024,0.962041233812641,1,0.95694742644803,0.993168441345084,0.987795304636267,0.995419922507572,0.957038258109276,0.961374257323476,0.953362136368844,0.960514685178233,0.980353195493589,0.971965934734221,0.980640230394692,0.993669566601614,0.972943547119211,0.978080117669188,0.972545391270744,0.987126398571195
"nabut_1_G2_mix_Slot1-1_1_3694",0.901508489109387,0.878371999239731,0.900376835901673,0.888908195817344,0.897128490712803,0.935206687295579,0.918475739361791,0.908852329303376,0.932452802667483,0.891685572554402,0.944714725287512,0.918866308540345,0.917803119695108,0.93826581620638,0.932578159798612,0.893566767080143,0.934131896783064,0.884390613758406,0.885708365168499,0.917840635228524,0.903024327366877,0.938198213554192,0.990272722349779,0.825690909902008,0.894800935612161,0.89111710924979,0.95694742644803,1,0.94446499610787,0.928990673096097,0.971773777056506,0.988101278606308,0.99238373914614,0.986493507693975,0.995063093736849,0.965000202888957,0.983011650860626,0.959911429967866,0.950331692568651,0.974219916893794,0.965939997379935,0.946945895619804,0.946544551817013
"nabut_1_G4_ctrl_Slot1-1_1_3709",0.965931607398266,0.958791064168837,0.976020511940647,0.965051961170901,0.972014638184797,0.98241195556662,0.973492025257449,0.979894191252759,0.983907128069894,0.975642807757411,0.98317635258507,0.985830375665459,0.980188131658765,0.969926417070595,0.983355434635431,0.943223853411363,0.97553337177718,0.972976127500829,0.967065464761286,0.979158665800516,0.931339973724461,0.98141272255238,0.935143541984596,0.936753307664601,0.978317226395115,0.972927909986604,0.993168441345084,0.94446499610787,1,0.994888586718694,0.985662167154489,0.942747609955349,0.944779326421834,0.936478514078627,0.944105272164916,0.973828218655306,0.959641502480129,0.970262924420838,0.986529386708244,0.96340109888682,0.969012131616425,0.97211732049798,0.982459392352524
"nabut_1_H4_ctrl_Slot1-1_1_3710",0.969947235021142,0.952458193103611,0.970244680040361,0.955831996872047,0.963175094104966,0.97119551355351,0.978880684848308,0.967115940816396,0.978499405565436,0.968554767924932,0.975339029056103,0.988490231887115,0.975793004113786,0.965972404530254,0.976110945168551,0.936284123041312,0.962562766374977,0.966315054048803,0.975166320409914,0.978109636230993,0.912472178286971,0.981750774752148,0.922328896430785,0.930678666873811,0.979535426582404,0.970023931844052,0.987795304636267,0.928990673096097,0.994888586718694,1,0.979761650175937,0.925412272782907,0.928341825394915,0.919647065209727,0.927726655765521,0.964300388667376,0.946000559167559,0.955203541004911,0.98323436749767,0.947183696843536,0.957167566183219,0.971610411155111,0.972245657174489
"nabut_1_I4_ctrl_Slot1-1_1_3711",0.953174356652627,0.926556838176921,0.951383802783876,0.937635972967574,0.950650475253345,0.962505640665072,0.961572615697614,0.951634149728113,0.967608693608369,0.949308835580387,0.974622987781833,0.970311955187362,0.967300029808534,0.967043451469917,0.970746400053759,0.93112963371633,0.961353667724421,0.943314396104325,0.939809104268568,0.957830016502965,0.927526054140934,0.972533916784732,0.971907636359941,0.902683555185333,0.946722008365408,0.948425033300562,0.995419922507572,0.971773777056506,0.985662167154489,0.979761650175937,1,0.971828697104376,0.975875733474945,0.972980750871096,0.975925240809116,0.979720721357995,0.981016746426363,0.977803913269405,0.98862456462488,0.981319025654777,0.978774279369747,0.970972023110568,0.980479994581887
"nabut_1_J2_mix_Slot1-1_1_3697",0.881393727010195,0.864107897108881,0.889899289828427,0.87824999095448,0.892387049840208,0.921243107028013,0.902029756051556,0.902166815111848,0.921655831291312,0.892938610580183,0.930976902604147,0.911854027645134,0.915109459839283,0.919540412175421,0.925973522381094,0.886927345369647,0.928346928316044,0.87924395015392,0.864015173642009,0.899008432002951,0.907768122975061,0.925902462081173,0.987741046779287,0.845581798540072,0.888641468586553,0.903890366270266,0.957038258109276,0.988101278606308,0.942747609955349,0.925412272782907,0.971828697104376,1,0.990078073528873,0.988270802963607,0.992736849892937,0.960314676055042,0.981182277403244,0.960862320179073,0.952484702504082,0.980764512728688,0.968227330853868,0.93011947970687,0.955831441302913
"nabut_1_M2_mix_Slot1-1_1_3700",0.900921687943368,0.878585164799083,0.898608453320993,0.885463411493955,0.897649842184141,0.932128196648132,0.916097013711223,0.906783612309021,0.931208391239574,0.892378508628809,0.944458727467247,0.917528050514362,0.917145113673091,0.938978184156293,0.936158004486191,0.897823790644892,0.932834265150231,0.882503122064972,0.873999891441738,0.912471764876917,0.911715262894113,0.936345693762217,0.994029933624453,0.833489243634438,0.895716677463612,0.901542804565195,0.961374257323476,0.99238373914614,0.944779326421834,0.928341825394915,0.975875733474945,0.990078073528873,1,0.990165435685356,0.995322027708571,0.967733817909619,0.989405173702806,0.968167269167486,0.956841516376245,0.98027670369677,0.969473084912218,0.944385182236045,0.954772015572136
"nabut_1_N2_mix_Slot1-1_1_3701",0.883637217970467,0.857264133374899,0.881128450542494,0.878208791028956,0.896274762074421,0.90987264818505,0.894279256047389,0.896825917412217,0.915755672762278,0.883947123345737,0.929636008738152,0.90431509298583,0.918934720646373,0.924955908081334,0.919790625617374,0.888671994701248,0.916535729989713,0.868256160606664,0.860280659471616,0.891346397915371,0.899664921069277,0.91474018889698,0.99280153278107,0.845093861332842,0.880299113050988,0.896780539175615,0.953362136368844,0.986493507693975,0.936478514078627,0.919647065209727,0.972980750871096,0.988270802963607,0.990165435685356,1,0.993675980836868,0.951337172222235,0.982265675859664,0.954490826913842,0.946494244047138,0.985770936301196,0.957142919170799,0.930952438694386,0.943815306333867
