"","nabut_1_D5_treat_Slot1-1_1_3713","nabut_1_E2_mix_Slot1-1_1_3692","nabut_1_E3_mix_Slot1-1_1_3721","nabut_1_E5_treat_Slot1-1_1_3714","nabut_1_F2_mix_Slot1-1_1_3693","nabut_1_F5_treat_Slot1-1_1_3715","nabut_1_G3_mix_Slot1-1_1_3723","nabut_1_G5_treat_Slot1-1_1_3716","nabut_1_H2_mix_Slot1-1_1_3695","nabut_1_H5_treat_Slot1-1_1_3717","nabut_1_I2_mix_Slot1-1_1_3696","nabut_1_I5_treat_Slot1-1_1_3718","nabut_1_K2_mix_Slot1-1_1_3698","nabut_1_L2_mix_Slot1-1_1_3699","nabut_4_D2_mix_Slot1-1_1_3640","nabut_4_D5_treat_Slot1-1_1_3675","nabut_4_E2_mix_Slot1-1_1_3641","nabut_4_E5_treat_Slot1-1_1_3676","nabut_4_F5_treat_Slot1-1_1_3677","nabut_4_G2_mix_Slot1-1_1_3643","nabut_4_G5_treat_Slot1-1_1_3678","nabut_4_H5_treat_Slot1-1_1_3679","nabut_4_I2_mix_Slot1-1_1_3645","nabut_4_I5_treat_Slot1-1_1_3680","nabut_4_J2_mix_Slot1-1_1_3646","nabut_4_L2_mix_Slot1-1_1_3648","nabut_4_M2_mix_Slot1-1_1_3649","nabut_4_N2_mix_Slot1-1_1_3650","nabut_4_O2_mix_Slot1-1_1_3651"
"nabut_1_I2_mix_Slot1-1_1_3696",5.11237841324702e-25,5.61724073733817e-33,1.4836365402145e-12,1.10045392752094e-22,1.12127676172297e-35,2.76501880652364e-26,1.39460769659959e-12,2.95974128466985e-20,4.73985987907071e-31,7.52448423580101e-26,0,4.13814981956289e-28,7.10818790493667e-29,4.52317558240128e-31,2.67526740845803e-28,1.59828039813272e-24,8.09252739026559e-24,8.65825192390234e-27,3.7459543961034e-26,1.58634077313287e-20,4.20660842806356e-16,1.24066263632827e-27,1.02967368278957e-24,4.30780691046296e-26,2.30086820582591e-30,2.49985342200877e-29,4.28477914953274e-24,1.21683067155516e-26,5.12898225056755e-32
"nabut_1_I5_treat_Slot1-1_1_3718",4.23650409960788e-30,6.43641648022103e-26,1.55744706615064e-13,2.1846703036623e-24,3.93897934573791e-28,6.02800900549702e-28,2.803920980451e-15,1.96368883348808e-22,2.17258251507773e-23,3.25239659057806e-25,4.13814981956289e-28,0,9.95299044368252e-26,2.95817536909457e-22,2.93818662830458e-29,2.99617007841098e-32,1.2928240069223e-26,2.55016177679709e-32,5.53292633634564e-34,5.11284064733852e-20,2.82024375252216e-18,5.50421467849798e-22,1.37961874413376e-20,1.01317933971378e-24,5.86238759917561e-29,1.03123348960696e-27,4.52697605247562e-26,3.97737283194604e-22,3.10144182007795e-28
"nabut_1_K2_mix_Slot1-1_1_3698",2.83210426237029e-22,1.99832181669392e-23,8.95330709742662e-12,7.84508451980875e-19,4.55385197119805e-41,3.65542261216413e-21,1.44023283368283e-12,8.98621502338661e-20,1.71143772906591e-25,4.5428281702714e-20,7.10818790493667e-29,9.95299044368252e-26,0,1.03566787971834e-22,7.88979889930654e-24,4.64023691988086e-23,1.43133373584049e-19,7.06499032285365e-24,3.06353987111264e-23,4.08780133697234e-19,2.66847849564435e-15,8.71689169010753e-25,3.96696461579607e-23,4.05018422228764e-22,3.26439087668219e-24,9.86206875378168e-25,2.38343861812833e-20,4.59435725834021e-23,9.88251330046056e-26
"nabut_1_L2_mix_Slot1-1_1_3699",2.07389855083846e-22,1.4828632439536e-28,4.48217157755859e-13,4.69403926389452e-23,4.00729517415516e-26,6.44900381469096e-24,7.29986864173386e-13,3.44116507978143e-17,1.93883998813972e-33,1.6988934958891e-25,4.52317558240128e-31,2.95817536909457e-22,1.03566787971834e-22,0,1.69619141146124e-26,1.32557610556483e-22,4.22558867660137e-23,1.03106814720695e-24,2.97045612209794e-21,2.0074098839686e-19,4.07019003670612e-18,2.63004040164936e-24,1.37804909292943e-23,2.23171857207349e-25,2.36022863665285e-26,6.3845443622878e-26,3.5087536906319e-21,2.56411909951017e-27,1.22882433308774e-26
"nabut_4_D2_mix_Slot1-1_1_3640",5.54629890395224e-31,8.31126061123561e-27,3.60409307813953e-16,1.65957415002523e-29,1.07703443768857e-26,7.78159690204936e-31,1.72642677148095e-16,2.01774056632415e-23,4.19681884101758e-27,2.87522485969814e-28,2.67526740845803e-28,2.93818662830458e-29,7.88979889930654e-24,1.69619141146124e-26,0,5.49231063111322e-31,1.37611212769646e-31,1.56739757085808e-31,3.52359624810076e-26,8.29457982038271e-24,4.94738001705158e-19,2.38484082779748e-24,4.734865956235e-20,1.91107164875726e-26,7.38233381880078e-28,1.6497564849262e-31,8.74572924455693e-24,2.39041716132369e-26,1.07609513956773e-26
"nabut_4_D5_treat_Slot1-1_1_3675",4.68828821505871e-35,1.36414788485376e-26,1.20032813505123e-16,1.05191305846331e-29,2.01684635525793e-24,2.10280665105615e-30,3.07083711784057e-19,3.47909875610602e-22,1.33424247926064e-22,2.39945511814344e-27,1.59828039813272e-24,2.99617007841098e-32,4.64023691988086e-23,1.32557610556483e-22,5.49231063111322e-31,0,2.15845935428432e-33,5.05701150854274e-35,4.26760743809077e-28,2.99759260629144e-23,3.65688674867275e-20,4.03312460241036e-20,1.33530790479733e-20,1.04570233062746e-23,1.46520840282092e-28,8.12688465428344e-31,2.42944214162194e-28,5.34113556804861e-21,1.11247586388759e-24
"nabut_4_E2_mix_Slot1-1_1_3641",1.06003284634493e-31,3.20243039370184e-28,1.04874931700702e-16,1.50778649540684e-32,8.26795742386331e-22,1.83142595311484e-31,1.31871146321383e-18,4.45317039194391e-21,7.03844725740228e-23,6.24367543417302e-31,8.09252739026559e-24,1.2928240069223e-26,1.43133373584049e-19,4.22558867660137e-23,1.37611212769646e-31,2.15845935428432e-33,0,5.34636151995387e-28,1.11384589203158e-23,9.57847521686917e-27,5.64808759215447e-19,6.56179671863052e-19,1.67252502422952e-18,4.42202096364063e-22,5.83683713591941e-28,3.09249582609548e-30,8.751974365496e-28,5.27505135933517e-21,3.06515376564919e-22
"nabut_4_E5_treat_Slot1-1_1_3676",3.19943790219532e-34,9.30809927914669e-27,3.05023440409559e-17,5.1487646212605e-28,6.999877807955e-26,3.55718605107686e-33,9.50916912407224e-19,2.28275345999152e-24,8.73512533709106e-24,4.82471115102646e-26,8.65825192390234e-27,2.55016177679709e-32,7.06499032285365e-24,1.03106814720695e-24,1.56739757085808e-31,5.05701150854274e-35,5.34636151995387e-28,0,2.83748823623736e-32,6.70260893817597e-21,5.87723743307689e-23,1.71671277164441e-25,5.07569403930002e-22,1.60655866085825e-33,9.55771053925471e-33,1.08452565522451e-32,2.02731039485901e-28,1.91575716548027e-25,3.65831128541325e-32
"nabut_4_F5_treat_Slot1-1_1_3677",4.64925286029086e-26,9.1427083635687e-24,3.07145603001041e-14,5.72939896528781e-22,2.40228392695359e-25,5.98670570677609e-29,3.86844713014265e-15,1.17711513726032e-23,2.5873479926942e-22,1.18588825805159e-23,3.7459543961034e-26,5.53292633634564e-34,3.06353987111264e-23,2.97045612209794e-21,3.52359624810076e-26,4.26760743809077e-28,1.11384589203158e-23,2.83748823623736e-32,0,2.94466733448698e-17,6.57547841500147e-17,1.26698644057701e-24,7.23056561221711e-21,4.1034952044375e-27,2.42277549499613e-31,8.46416249437029e-29,3.52395800270796e-28,3.03303781257711e-21,1.17496150458633e-32
"nabut_4_G2_mix_Slot1-1_1_3643",3.2876431507179e-25,2.43369245346538e-24,4.012496759517e-16,2.44950014055432e-24,1.37897374189825e-20,1.75003010604276e-23,2.18789105274923e-17,1.04197102895529e-20,2.88281364954268e-19,8.60832757870731e-24,1.58634077313287e-20,5.11284064733852e-20,4.08780133697234e-19,2.0074098839686e-19,8.29457982038271e-24,2.99759260629144e-23,9.57847521686917e-27,6.70260893817597e-21,2.94466733448698e-17,0,7.89449693161956e-16,4.17307471001804e-17,1.11080130368864e-17,4.65875567682488e-18,8.69774136514808e-22,4.38716871106567e-24,6.6573515605207e-21,2.00147707031042e-19,5.26046114051393e-18
"nabut_4_G5_treat_Slot1-1_1_3678",5.70681779696944e-21,5.29727305352415e-17,3.1113629134378e-16,3.14538778421643e-20,1.29244452290896e-15,9.88238188875126e-19,1.21877579847601e-19,2.02458716826204e-15,5.73564263529741e-16,1.07235411347718e-16,4.20660842806356e-16,2.82024375252216e-18,2.66847849564435e-15,4.07019003670612e-18,4.94738001705158e-19,3.65688674867275e-20,5.64808759215447e-19,5.87723743307689e-23,6.57547841500147e-17,7.89449693161956e-16,0,2.18857456510343e-16,5.99253488096053e-15,1.14396487306188e-21,1.95282087099678e-18,9.31718138245455e-18,3.30593973822646e-17,3.35574045591907e-19,7.04378927023299e-18
"nabut_4_H5_treat_Slot1-1_1_3679",8.39880001065133e-22,1.13259598630731e-22,4.64932030618499e-14,3.36944345888057e-19,9.8773746209793e-27,3.63012429123503e-24,3.09013301865151e-13,1.37537519771287e-22,1.10342422790928e-24,3.20108521156511e-20,1.24066263632827e-27,5.50421467849798e-22,8.71689169010753e-25,2.63004040164936e-24,2.38484082779748e-24,4.03312460241036e-20,6.56179671863052e-19,1.71671277164441e-25,1.26698644057701e-24,4.17307471001804e-17,2.18857456510343e-16,0,8.86357288419149e-23,2.39134420223639e-31,7.80129226364215e-27,2.83404858663104e-26,4.74746071940488e-21,1.20289391856271e-27,3.72604539683125e-33
