"PTM1","PTM2","Log2FoldChange","pvalue"
"H4K16ac","H1K25me",-0.451105050247742,0.0364
"H1K25me","H4K16ac",-0.451105050247742,0.0364
"H3K79me","H3K27meK36me2",0.0731645235989967,0.0382
"H3K27meK36me2","H3K79me",0.0731645235989967,0.0382
"H3K23ac","H4K8acK16ac",-0.108739861610573,0.039
"H4K16ac","H3K27me2K36me",-0.0283101362029523,0.039
"H4K8acK16ac","H3K23ac",-0.108739861610573,0.039
"H3K27me2K36me","H4K16ac",-0.0283101362029523,0.039
"H3K9ac","H1.2K33ac",-0.422924312517977,0.0404
"H1.2K33ac","H3K9ac",-0.422924312517977,0.0404
"H4K5acK12ac","H4K8acK12acK16ac",-0.457914149024516,0.041
"H4K8acK12acK16ac","H4K5acK12ac",-0.457914149024516,0.041
"H4K5acK8acK16ac","H3K36me2",0.126642901578947,0.0456
"H3K9meK14ac","H3K23su",0.0101507531223795,0.0456
"H3K23su","H3K9meK14ac",0.0101507531223795,0.0456
"H3K36me2","H4K5acK8acK16ac",0.126642901578947,0.0456
"H4K8acK12ac","H4K5acK8acK12ac",0.209369153976473,0.047
"H4K5acK8acK12ac","H4K8acK12ac",0.209369153976473,0.047
"H4K8acK12acK16ac","H3K36me2",-0.288922629477426,0.0498
"H3K36me2","H4K8acK12acK16ac",-0.288922629477426,0.0498
"H3K79me","H3K36me2",0.0561581434645786,0.05
"H3K36me2","H3K79me",0.0561581434645786,0.05
"H1K25me","H3K27meK36me2",-0.00760575113425691,0.0504
"H3K27meK36me2","H1K25me",-0.00760575113425691,0.0504
"H3K9me2K14ac","H1.2K33ac",-0.251694850405317,0.0518
"H1.2K33ac","H3K9me2K14ac",-0.251694850405317,0.0518
"H3K14ac","H4K8acK12acK16ac",0.277637837432759,0.0532
"H4K8acK12acK16ac","H3K14ac",0.277637837432759,0.0532
"H3K4me","H3K23su",-0.216298713977663,0.0574
"H3K23su","H3K4me",-0.216298713977663,0.0574
"H4K5acK8acK12ac","H3K9ac",0.572560307098173,0.0576
"H3K9ac","H4K5acK8acK12ac",0.572560307098173,0.0576
"H2AJK5acT6ac","H1.2K33ac",-0.484240422702193,0.0586
"H1.2K33ac","H2AJK5acT6ac",-0.484240422702193,0.0586
"H2A1BK15ac","H4K8ac",-0.29098074072996,0.061
"H4K8ac","H2A1BK15ac",-0.29098074072996,0.061
"H3K4me","H3K9ac",-1.27240765878394,0.0618
"H3K9ac","H3K4me",-1.27240765878394,0.0618
"H4K5acK8acK12acK16ac","H4K8acK12acK16ac",0.0552553030313552,0.0626
"H4K8acK12acK16ac","H4K5acK8acK12acK16ac",0.0552553030313552,0.0626
"H3K18ac","H4K5acK16ac",-0.223771471307778,0.0638
"H3K79me","H3K9me",-0.0184963697141002,0.0638
"H3K9me","H3K79me",-0.0184963697141002,0.0638
"H4K5acK16ac","H3K18ac",-0.223771471307778,0.0638
"H4K5acK8acK16ac","H3K18acK23ac",-0.224894454704094,0.0652
"H3K18acK23ac","H4K5acK8acK16ac",-0.224894454704094,0.0652
"H4K5acK12ac","H4K5acK16ac",-0.275135537215181,0.0654
"H4K5acK8acK12acK16ac","H4K5acK8acK16ac",0.0260383344418264,0.0654
"H4K5acK8acK16ac","H4K5acK8acK12acK16ac",0.0260383344418264,0.0654
"H4K5acK16ac","H4K5acK12ac",-0.275135537215181,0.0654
"H4K12acK16ac","H3K9ac",-0.0159429614991651,0.0682
"H3K9ac","H4K12acK16ac",-0.0159429614991651,0.0682
"H2AJK5acT6ac","H3K23su",0.182328430748142,0.069
"H3K23su","H2AJK5acT6ac",0.182328430748142,0.069
"H2AJK5acT6ac","H3K9me2",0.399891662573935,0.0702
"H3K9me2","H2AJK5acT6ac",0.399891662573935,0.0702
"H4K12acK16ac","H1.2K33ac",-0.251214667854567,0.071
"H4K16ac","H2A1AK5ac",-0.309018380474301,0.071
"H1.2K33ac","H4K12acK16ac",-0.251214667854567,0.071
"H2A1AK5ac","H4K16ac",-0.309018380474301,0.071
"H3K4me","H3K36me2",-0.770491330492733,0.0728
"H3K36me2","H3K4me",-0.770491330492733,0.0728
"H1K25me","H4K8acK12ac",0.476317510559346,0.074
"H4K8acK12ac","H1K25me",0.476317510559346,0.074
"H2AJK5acT6ac","H4K8acK12acK16ac",-0.456780513475068,0.0748
"H4K8acK12acK16ac","H2AJK5acT6ac",-0.456780513475068,0.0748
"H4K16ac","H2A1BK15ac",-0.0265036495858952,0.075
"H2A1BK15ac","H4K16ac",-0.0265036495858952,0.075
"H3K14ac","H3K9meK14ac",0.549690648316996,0.077
"H3K9meK14ac","H3K14ac",0.549690648316996,0.077
"H1K25me","H4K5ac",-0.0833735930305304,0.0818
"H4K5ac","H1K25me",-0.0833735930305304,0.0818
"H1K25me","H3K4me",-0.162690682614412,0.0822
"H3K4me","H1K25me",-0.162690682614412,0.0822
"H3K36me2","H4K5ac",0.724043601773366,0.0824
"H4K5ac","H3K36me2",0.724043601773366,0.0824
"H3K18ac","H3K9meK14ac",-0.595920385740058,0.0838
"H3K9meK14ac","H3K18ac",-0.595920385740058,0.0838
"H3K9acK14ac","H3K36me2",0.387570523877696,0.0842
"H3K36me2","H3K9acK14ac",0.387570523877696,0.0842
"H4K5acK12acK16ac","H2A1BK15ac",0.191092712467637,0.0848
"H2A1BK15ac","H4K5acK12acK16ac",0.191092712467637,0.0848
"H3K9me3K14ac","H3K27meK36me2",-0.318378863545373,0.0874
"H3K27meK36me2","H3K9me3K14ac",-0.318378863545373,0.0874
"H2A1BK15ac","H3K18acK23ac",-0.114531965598667,0.0886
"H3K18acK23ac","H2A1BK15ac",-0.114531965598667,0.0886
"H3K9me3K14ac","H3K9me2",0.225163420626551,0.0906
"H3K9me2","H3K9me3K14ac",0.225163420626551,0.0906
"H3K18ac","H4K5acK12ac",0.36919827599816,0.0916
"H4K5acK12ac","H3K18ac",0.36919827599816,0.0916
"H2AJK5acK9ac","H3K9me2K14ac",0.349209687484415,0.0924
"H3K9me2K14ac","H2AJK5acK9ac",0.349209687484415,0.0924
"H3K4me","H3K9meK14ac",-0.930190143883308,0.0938
"H3K9meK14ac","H3K4me",-0.930190143883308,0.0938
"H1.2K33ac","H3K27meK36me2",0.782592759322349,0.0952
"H3K27meK36me2","H1.2K33ac",0.782592759322349,0.0952
"H4K5acK8acK12ac","H1.2K33ac",0.239302565348584,0.0956
"H1.2K33ac","H4K5acK8acK12ac",0.239302565348584,0.0956
"H4K5acK8acK16ac","H3K9ac",-0.244638541763857,0.0968
"H3K9ac","H4K5acK8acK16ac",-0.244638541763857,0.0968
"H3K18ac","H3K14ac",-0.915682666852536,0.097
"H3K14ac","H3K18ac",-0.915682666852536,0.097
"H4K12acK16ac","H4K5acK8ac",0.146644282949024,0.0974
"H4K5acK8ac","H4K12acK16ac",0.146644282949024,0.0974
"H3K14ac","H4K8ac",0.220919271047278,0.0994
"H4K8ac","H3K14ac",0.220919271047278,0.0994
"H3K9me2","H4K5ac",-0.330266091024094,0.1
"H4K5ac","H3K9me2",-0.330266091024094,0.1
"H3K23ac","H3K4me",-0.347896163365261,0.101
"H3K4me","H3K23ac",-0.347896163365261,0.101
"H4K5acK12acK16ac","H3K27meK36me2",0.265641502910127,0.102
"H3K27meK36me2","H4K5acK12acK16ac",0.265641502910127,0.102
"H3K18ac","H4K5acK8ac",-1.20710268525343,0.1024
"H4K5acK8ac","H3K18ac",-1.20710268525343,0.1024
"H1K25me","H3K9me2",-0.120048183501493,0.1026
"H3K9me2","H1K25me",-0.120048183501493,0.1026
"H4K5acK8acK12acK16ac","H3K9acK14ac",-0.459741991128052,0.106
"H3K9acK14ac","H4K5acK8acK12acK16ac",-0.459741991128052,0.106
"H3K23ac","H4K8acK12acK16ac",-0.122788045167772,0.1062
"H4K8acK12acK16ac","H3K23ac",-0.122788045167772,0.1062
"H3K79me","H4K5acK8acK12acK16ac",0.0159967788007107,0.1084
"H4K5acK8acK12acK16ac","H3K79me",0.0159967788007107,0.1084
"H4K5acK12ac","H3K14ac",-1.08330816112548,0.109
"H3K14ac","H4K5acK12ac",-1.08330816112548,0.109
"H3K23ac","H3K18ac",-0.922140736549228,0.1096
"H3K18ac","H3K23ac",-0.922140736549228,0.1096
"H4K5acK12ac","H4K5acK8acK12acK16ac",-0.510786069576045,0.1106
"H4K5acK8acK12acK16ac","H4K5acK12ac",-0.510786069576045,0.1106
"H3K18ac","H3K9me",0.463330331850916,0.1174
"H3K9me","H3K18ac",0.463330331850916,0.1174
"H4K16ac","H3K9me2K14ac",-0.744299142476836,0.1194
"H3K9me2K14ac","H4K16ac",-0.744299142476836,0.1194
"H4K8acK12acK16ac","H3K9meK14ac",-0.0657306162032658,0.1196
"H3K9meK14ac","H4K8acK12acK16ac",-0.0657306162032658,0.1196
"H4K16ac","H4K8ac",-0.822804301204096,0.1206
"H4K8ac","H4K16ac",-0.822804301204096,0.1206
"H3K9ac","H4K8ac",0.57593818446134,0.1226
"H4K8ac","H3K9ac",0.57593818446134,0.1226
"H1.2K33ac","H4K8ac",-0.231758944423354,0.1232
"H4K8ac","H1.2K33ac",-0.231758944423354,0.1232
"H2A1AK5ac","H3K36me2",0.269053213007083,0.124
"H3K36me2","H2A1AK5ac",0.269053213007083,0.124
"H3K9me2K14ac","H3K23su",-0.282967461941708,0.1242
"H3K23su","H3K9me2K14ac",-0.282967461941708,0.1242
"H3K23su","H3K18acK23ac",-0.0774491664756685,0.1266
"H3K18acK23ac","H3K23su",-0.0774491664756685,0.1266
"H4K8acK12acK16ac","H3K4me",-0.435569689745984,0.1268
"H3K4me","H4K8acK12acK16ac",-0.435569689745984,0.1268
"H3K27me2K36me","H3K9me3K14ac",0.351814696195742,0.1298
"H3K9me3K14ac","H3K27me2K36me",0.351814696195742,0.1298
"H4K8acK12acK16ac","H4K8ac",-0.327722324089643,0.1302
"H4K8ac","H4K8acK12acK16ac",-0.327722324089643,0.1302
"H3K27me2K36me","H4K5acK8acK16ac",-0.307958296142136,0.1308
"H4K5acK8acK16ac","H3K27me2K36me",-0.307958296142136,0.1308
"H4K5acK8acK12ac","H3K14ac",0.106059452935339,0.131
"H3K14ac","H4K5acK8acK12ac",0.106059452935339,0.131
"H3K4me","H4K5ac",-0.171437543015423,0.1332
"H4K5ac","H3K4me",-0.171437543015423,0.1332
"H4K8acK12ac","H3K9acK14ac",0.239439741033803,0.1336
"H3K9acK14ac","H4K8acK12ac",0.239439741033803,0.1336
"H3K9acK14ac","H4K5acK8ac",0.230841652747421,0.1338
"H4K5acK8ac","H3K9acK14ac",0.230841652747421,0.1338
"H3K18ac","H3K9me2K14ac",-0.450554685723126,0.134
"H3K9me2K14ac","H3K18ac",-0.450554685723126,0.134
"H4K12ac","H4K8ac",0.304993245744584,0.1358
"H4K8ac","H4K12ac",0.304993245744584,0.1358
"H3K9me2K14ac","H4K12ac",0.125076191498947,0.136
"H4K12ac","H3K9me2K14ac",0.125076191498947,0.136
"H3K4me","H2A1BK15ac",0.289890013430952,0.138
"H2A1BK15ac","H3K4me",0.289890013430952,0.138
